timestamp,requests,predict
1998-06-09 22:00:00,10557,0
1998-06-09 22:01:00,14292,0
1998-06-09 22:02:00,13200,0
1998-06-09 22:03:00,13527,0
1998-06-09 22:04:00,13363,0
1998-06-09 22:05:00,13940,0
1998-06-09 22:06:00,15050,0
1998-06-09 22:07:00,14840,0
1998-06-09 22:08:00,14809,0
1998-06-09 22:09:00,15162,0
1998-06-09 22:10:00,13852,16050
1998-06-09 22:11:00,14268,15147
1998-06-09 22:12:00,14407,15368
1998-06-09 22:13:00,14214,15425
1998-06-09 22:14:00,14404,15237
1998-06-09 22:15:00,13885,15371
1998-06-09 22:16:00,13186,15076
1998-06-09 22:17:00,13727,14654
1998-06-09 22:18:00,13153,14867
1998-06-09 22:19:00,12733,14475
1998-06-09 22:20:00,13423,14139
1998-06-09 22:21:00,14646,14458
1998-06-09 22:22:00,13952,15160
1998-06-09 22:23:00,14958,14792
1998-06-09 22:24:00,14438,15558
1998-06-09 22:25:00,14012,15321
1998-06-09 22:26:00,13674,15084
1998-06-09 22:27:00,12136,14902
1998-06-09 22:28:00,12521,14027
1998-06-09 22:29:00,12974,14020
1998-06-09 22:30:00,13368,14177
1998-06-09 22:31:00,14983,14279
1998-06-09 22:32:00,13991,15307
1998-06-09 22:33:00,13747,14796
1998-06-09 22:34:00,14399,14742
1998-06-09 22:35:00,14536,15284
1998-06-09 22:36:00,12810,15349
1998-06-09 22:37:00,12076,14302
1998-06-09 22:38:00,12932,13895
1998-06-09 22:39:00,14061,14190
1998-06-09 22:40:00,12112,14762
1998-06-09 22:41:00,13633,13803
1998-06-09 22:42:00,12698,14464
1998-06-09 22:43:00,12696,14015
1998-06-09 22:44:00,12995,13931
1998-06-09 22:45:00,13006,14082
1998-06-09 22:46:00,12426,14033
1998-06-09 22:47:00,12145,13669
1998-06-09 22:48:00,12314,13562
1998-06-09 22:49:00,12637,13547
1998-06-09 22:50:00,11418,13694
1998-06-09 22:51:00,12146,13042
1998-06-09 22:52:00,12452,13323
1998-06-09 22:53:00,12981,13513
1998-06-09 22:54:00,12497,13789
1998-06-09 22:55:00,13366,13565
1998-06-09 22:56:00,12935,14180
1998-06-09 22:57:00,11704,13948
1998-06-09 22:58:00,11918,13236
1998-06-09 22:59:00,12394,13303
1998-06-09 23:00:00,12244,13517
1998-06-09 23:01:00,11898,13353
1998-06-09 23:02:00,13293,13178
1998-06-09 23:03:00,13649,13989
1998-06-09 23:04:00,13428,14341
1998-06-09 23:05:00,13669,14238
1998-06-09 23:06:00,12271,14541
1998-06-09 23:07:00,12068,13684
1998-06-09 23:08:00,12710,13531
1998-06-09 23:09:00,12281,13856
1998-06-09 23:10:00,12041,13505
1998-06-09 23:11:00,12780,13331
1998-06-09 23:12:00,12098,13783
1998-06-09 23:13:00,12243,13382
1998-06-09 23:14:00,11906,13449
1998-06-09 23:15:00,12453,13238
1998-06-09 23:16:00,12640,13474
1998-06-09 23:17:00,12977,13627
1998-06-09 23:18:00,13058,13850
1998-06-09 23:19:00,12631,13958
1998-06-09 23:20:00,13373,13753
1998-06-09 23:21:00,13112,14254
1998-06-09 23:22:00,13361,14121
1998-06-09 23:23:00,12851,14280
1998-06-09 23:24:00,12577,14009
1998-06-09 23:25:00,12803,13823
1998-06-09 23:26:00,13383,13941
1998-06-09 23:27:00,13721,14277
1998-06-09 23:28:00,13376,14487
1998-06-09 23:29:00,13085,14342
1998-06-09 23:30:00,12727,14212
1998-06-09 23:31:00,12514,14012
1998-06-09 23:32:00,13356,13828
