timestamp,requests,predict,replicas
2015-03-16 00:00:00,84474,0,1
2015-03-16 00:01:00,83668,0,1
2015-03-16 00:02:00,83777,0,1
2015-03-16 00:03:00,82464,0,1
2015-03-16 00:04:00,83901,0,1
2015-03-16 00:05:00,82357,0,1
2015-03-16 00:06:00,81757,0,1
2015-03-16 00:07:00,81798,0,1
2015-03-16 00:08:00,82724,0,1
2015-03-16 00:09:00,82219,0,1
2015-03-16 00:10:00,82270,82476,5
2015-03-16 00:11:00,82644,82475,5
2015-03-16 00:12:00,82433,82635,5
2015-03-16 00:13:00,82821,82525,5
2015-03-16 00:14:00,84810,82749,5
2015-03-16 00:15:00,84637,83637,5
2015-03-16 00:16:00,83652,84212,5
2015-03-16 00:17:00,82853,83816,5
2015-03-16 00:18:00,83508,83035,5
2015-03-16 00:19:00,83793,83280,5
2015-03-16 00:20:00,83542,83558,5
2015-03-16 00:21:00,81922,83599,5
2015-03-16 00:22:00,81971,82424,5
2015-03-16 00:23:00,80824,82341,5
2015-03-16 00:24:00,82928,81438,5
2015-03-16 00:25:00,83423,82304,5
2015-03-16 00:26:00,83413,82960,5
2015-03-16 00:27:00,82535,83386,5
2015-03-16 00:28:00,83546,82887,5
2015-03-16 00:29:00,83977,83268,5
2015-03-16 00:30:00,84258,83599,5
2015-03-16 00:31:00,84084,83940,5
2015-03-16 00:32:00,83223,83993,5
2015-03-16 00:33:00,82274,83367,5
2015-03-16 00:34:00,82656,82611,5
2015-03-16 00:35:00,83260,82736,5
2015-03-16 00:36:00,82781,83093,5
2015-03-16 00:37:00,83425,82989,5
2015-03-16 00:38:00,82224,83371,5
2015-03-16 00:39:00,83549,82631,5
2015-03-16 00:40:00,87257,83218,5
2015-03-16 00:41:00,84279,84414,5
2015-03-16 00:42:00,84643,84379,5
2015-03-16 00:43:00,84253,84593,5
2015-03-16 00:44:00,84843,84175,5
2015-03-16 00:45:00,83866,84505,5
2015-03-16 00:46:00,84035,83988,5
2015-03-16 00:47:00,84858,84079,5
2015-03-16 00:48:00,84786,84537,5
2015-03-16 00:49:00,85388,84777,5
2015-03-16 00:50:00,86041,85224,5
2015-03-16 00:51:00,85460,85640,5
2015-03-16 00:52:00,85340,85487,5
2015-03-16 00:53:00,86257,85325,5
2015-03-16 00:54:00,84997,85788,5
2015-03-16 00:55:00,83270,85119,5
2015-03-16 00:56:00,83046,83723,5
2015-03-16 00:57:00,83061,83474,5
2015-03-16 00:58:00,82573,83381,5
2015-03-16 00:59:00,82775,83089,5
2015-03-16 01:00:00,83609,83142,5
2015-03-16 01:01:00,83082,83545,5
2015-03-16 01:02:00,84570,83397,5
2015-03-16 01:03:00,84408,84074,5
2015-03-16 01:04:00,84576,84271,5
2015-03-16 01:05:00,84664,84443,5
2015-03-16 01:06:00,81843,84512,5
2015-03-16 01:07:00,81449,82205,5
2015-03-16 01:08:00,81560,81965,5
2015-03-16 01:09:00,84011,81846,5
2015-03-16 01:10:00,85028,82885,5
2015-03-16 01:11:00,84362,83930,5
2015-03-16 01:12:00,83324,84464,5
2015-03-16 01:13:00,82863,83708,5
2015-03-16 01:14:00,82989,83055,5
2015-03-16 01:15:00,84697,82960,5
2015-03-16 01:16:00,82923,83748,5
2015-03-16 01:17:00,82436,83186,5
2015-03-16 01:18:00,83518,82841,5
2015-03-16 01:19:00,83056,83335,5
2015-03-16 01:20:00,86600,83212,5
2015-03-16 01:21:00,85003,84345,5
2015-03-16 01:22:00,83735,84796,5
2015-03-16 01:23:00,84037,84045,5
2015-03-16 01:24:00,83436,83978,5
2015-03-16 01:25:00,83441,83528,5
2015-03-16 01:26:00,83253,83493,5
2015-03-16 01:27:00,83757,83403,5
2015-03-16 01:28:00,83224,83732,5
2015-03-16 01:29:00,84189,83504,5
2015-03-16 01:30:00,84297,84027,5
2015-03-16 01:31:00,82099,84198,5
2015-03-16 01:32:00,80234,82590,5
2015-03-16 01:33:00,81282,81085,5
2015-03-16 01:34:00,82387,81481,5
2015-03-16 01:35:00,81703,82053,5
2015-03-16 01:36:00,82666,82024,5
2015-03-16 01:37:00,82020,82544,5
2015-03-16 01:38:00,85606,82286,5
2015-03-16 01:39:00,84495,83438,5
2015-03-16 01:40:00,86391,84045,5
2015-03-16 01:41:00,84922,85076,5
2015-03-16 01:42:00,84307,84813,5
2015-03-16 01:43:00,85403,84278,5
2015-03-16 01:44:00,86795,84793,5
2015-03-16 01:45:00,86903,85680,5
2015-03-16 01:46:00,86251,86389,5
2015-03-16 01:47:00,83986,86286,5
2015-03-16 01:48:00,83025,84260,5
2015-03-16 01:49:00,84076,83502,5
2015-03-16 01:50:00,84917,84001,5
