timestamp,requests,predict,replicas,burst
1998-06-09 22:00:00,10557,0,1,0
1998-06-09 22:01:00,14292,0,1,0
1998-06-09 22:02:00,13200,0,1,0
1998-06-09 22:03:00,13527,0,1,0
1998-06-09 22:04:00,13363,0,1,0
1998-06-09 22:05:00,13940,0,1,0
1998-06-09 22:06:00,15050,0,1,0
1998-06-09 22:07:00,14840,0,1,0
1998-06-09 22:08:00,14809,0,1,0
1998-06-09 22:09:00,15162,0,1,0
1998-06-09 22:10:00,13852,15307,1,1
1998-06-09 22:11:00,14268,14566,1,1
1998-06-09 22:12:00,14407,14919,1,1
1998-06-09 22:13:00,14214,14846,1,1
1998-06-09 22:14:00,14404,14766,1,1
1998-06-09 22:15:00,13885,14846,1,1
1998-06-09 22:16:00,13186,14542,1,1
1998-06-09 22:17:00,13727,14183,1,1
1998-06-09 22:18:00,13153,14415,1,1
1998-06-09 22:19:00,12733,13945,1,1
1998-06-09 22:20:00,13423,13741,1,1
1998-06-09 22:21:00,14646,13995,1,1
1998-06-09 22:22:00,13952,14472,1,1
1998-06-09 22:23:00,14958,14129,1,1
1998-06-09 22:24:00,14438,14814,1,1
1998-06-09 22:25:00,14012,14543,1,1
1998-06-09 22:26:00,13674,14540,1,1
1998-06-09 22:27:00,12136,14363,1,1
1998-06-09 22:28:00,12521,13529,1,1
1998-06-09 22:29:00,12974,13772,1,1
1998-06-09 22:30:00,13368,13695,1,1
1998-06-09 22:31:00,14983,13771,1,1
1998-06-09 22:32:00,13991,14517,1,1
1998-06-09 22:33:00,13747,14049,1,1
1998-06-09 22:34:00,14399,14182,1,1
1998-06-09 22:35:00,14536,14514,1,1
1998-06-09 22:36:00,12810,14608,1,1
1998-06-09 22:37:00,12076,13805,1,1
1998-06-09 22:38:00,12932,13553,1,1
1998-06-09 22:39:00,14061,13824,1,1
1998-06-09 22:40:00,12112,14170,1,1
1998-06-09 22:41:00,13633,13026,1,1
1998-06-09 22:42:00,12698,14079,1,1
1998-06-09 22:43:00,12696,13304,1,1
1998-06-09 22:44:00,12995,13490,1,1
1998-06-09 22:45:00,13006,13444,1,1
1998-06-09 22:46:00,12426,13465,1,1
1998-06-09 22:47:00,12145,13192,1,1
1998-06-09 22:48:00,12314,13085,1,1
1998-06-09 22:49:00,12637,13079,1,1
1998-06-09 22:50:00,11418,13205,1,1
1998-06-09 22:51:00,12146,12464,1,1
1998-06-09 22:52:00,12452,12954,1,1
1998-06-09 22:53:00,12981,12878,1,1
1998-06-09 22:54:00,12497,13166,1,1
1998-06-09 22:55:00,13366,12888,1,1
1998-06-09 22:56:00,12935,13473,1,1
1998-06-09 22:57:00,11704,13231,1,1
1998-06-09 22:58:00,11918,12768,1,1
1998-06-09 22:59:00,12394,12917,1,1
