timestamp,requests,predict,replicas
2015-03-16 00:00:00,84474,0,5
2015-03-16 00:01:00,83668,0,5
2015-03-16 00:02:00,83777,0,5
2015-03-16 00:03:00,82464,0,5
2015-03-16 00:04:00,83901,0,5
2015-03-16 00:05:00,82357,0,5
2015-03-16 00:06:00,81757,0,5
2015-03-16 00:07:00,81798,0,5
2015-03-16 00:08:00,82724,0,5
2015-03-16 00:09:00,82219,0,5
2015-03-16 00:10:00,82270,81855,5
2015-03-16 00:11:00,82644,81935,5
2015-03-16 00:12:00,82433,82202,5
2015-03-16 00:13:00,82821,82129,5
2015-03-16 00:14:00,84810,82403,5
2015-03-16 00:15:00,84637,83925,5
2015-03-16 00:16:00,83652,84197,5
2015-03-16 00:17:00,82853,83662,5
2015-03-16 00:18:00,83508,82941,5
2015-03-16 00:19:00,83793,83143,5
2015-03-16 00:20:00,83542,83299,5
2015-03-16 00:21:00,81922,83199,5
2015-03-16 00:22:00,81971,82089,5
2015-03-16 00:23:00,80824,81817,5
2015-03-16 00:24:00,82928,80862,5
2015-03-16 00:25:00,83423,82004,5
2015-03-16 00:26:00,83413,82617,5
2015-03-16 00:27:00,82535,82926,5
2015-03-16 00:28:00,83546,82480,5
2015-03-16 00:29:00,83977,83094,5
2015-03-16 00:30:00,84258,83486,5
2015-03-16 00:31:00,84084,83831,5
2015-03-16 00:32:00,83223,83815,5
2015-03-16 00:33:00,82274,83203,5
2015-03-16 00:34:00,82656,82353,5
2015-03-16 00:35:00,83260,82326,5
2015-03-16 00:36:00,82781,82659,5
2015-03-16 00:37:00,83425,82442,5
2015-03-16 00:38:00,82224,82911,5
2015-03-16 00:39:00,83549,82182,5
2015-03-16 00:40:00,87257,82977,5
2015-03-16 00:41:00,84279,85866,5
2015-03-16 00:42:00,84643,84503,5
2015-03-16 00:43:00,84253,84642,5
2015-03-16 00:44:00,84843,84174,5
2015-03-16 00:45:00,83866,84435,5
2015-03-16 00:46:00,84035,83757,5
2015-03-16 00:47:00,84858,83747,5
2015-03-16 00:48:00,84786,84266,5
2015-03-16 00:49:00,85388,84351,5
2015-03-16 00:50:00,86041,84885,5
