timestamp,requests,predict,replicas
1998-06-09 22:00:00,10557,0,1
1998-06-09 22:01:00,14292,0,1
1998-06-09 22:02:00,13200,0,1
1998-06-09 22:03:00,13527,0,1
1998-06-09 22:04:00,13363,0,1
1998-06-09 22:05:00,13940,0,1
1998-06-09 22:06:00,15050,0,1
1998-06-09 22:07:00,14840,0,1
1998-06-09 22:08:00,14809,0,1
1998-06-09 22:09:00,15162,0,1
1998-06-09 22:10:00,13852,16050,1
1998-06-09 22:11:00,14268,15147,1
1998-06-09 22:12:00,14407,15368,1
1998-06-09 22:13:00,14214,15425,1
1998-06-09 22:14:00,14404,15237,1
1998-06-09 22:15:00,13885,15371,1
1998-06-09 22:16:00,13186,15076,1
1998-06-09 22:17:00,13727,14654,1
1998-06-09 22:18:00,13153,14867,1
1998-06-09 22:19:00,12733,14475,1
1998-06-09 22:20:00,13423,14139,1
1998-06-09 22:21:00,14646,14458,1
1998-06-09 22:22:00,13952,15160,1
1998-06-09 22:23:00,14958,14792,1
1998-06-09 22:24:00,14438,15558,1
1998-06-09 22:25:00,14012,15321,1
1998-06-09 22:26:00,13674,15084,1
1998-06-09 22:27:00,12136,14902,1
1998-06-09 22:28:00,12521,14027,1
1998-06-09 22:29:00,12974,14020,1
1998-06-09 22:30:00,13368,14177,1
1998-06-09 22:31:00,14983,14279,1
1998-06-09 22:32:00,13991,15307,1
1998-06-09 22:33:00,13747,14796,1
1998-06-09 22:34:00,14399,14742,1
1998-06-09 22:35:00,14536,15284,1
1998-06-09 22:36:00,12810,15349,1
1998-06-09 22:37:00,12076,14302,1
1998-06-09 22:38:00,12932,13895,1
1998-06-09 22:39:00,14061,14190,1
1998-06-09 22:40:00,12112,14762,1
1998-06-09 22:41:00,13633,13803,1
1998-06-09 22:42:00,12698,14464,1
1998-06-09 22:43:00,12696,14015,1
1998-06-09 22:44:00,12995,13931,1
1998-06-09 22:45:00,13006,14082,1
1998-06-09 22:46:00,12426,14033,1
1998-06-09 22:47:00,12145,13669,1
1998-06-09 22:48:00,12314,13562,1
1998-06-09 22:49:00,12637,13547,1
