Time	Requests
1998-07-22 00:00:00	1277
1998-07-22 00:01:00	1390
1998-07-22 00:02:00	1120
1998-07-22 00:03:00	1332
1998-07-22 00:04:00	1648
1998-07-22 00:05:00	1529
1998-07-22 00:06:00	1945
1998-07-22 00:07:00	1433
1998-07-22 00:08:00	1509
1998-07-22 00:09:00	1592
1998-07-22 00:10:00	1425
1998-07-22 00:11:00	1223
1998-07-22 00:12:00	1446
1998-07-22 00:13:00	1656
1998-07-22 00:14:00	1624
1998-07-22 00:15:00	1318
1998-07-22 00:16:00	1132
1998-07-22 00:17:00	1400
1998-07-22 00:18:00	1207
1998-07-22 00:19:00	1216
1998-07-22 00:20:00	1234
1998-07-22 00:21:00	1108
1998-07-22 00:22:00	940
1998-07-22 00:23:00	998
1998-07-22 00:24:00	860
1998-07-22 00:25:00	1003
1998-07-22 00:26:00	1074
1998-07-22 00:27:00	1061
1998-07-22 00:28:00	887
1998-07-22 00:29:00	722
1998-07-22 00:30:00	816
1998-07-22 00:31:00	1148
1998-07-22 00:32:00	1083
1998-07-22 00:33:00	1142
1998-07-22 00:34:00	1479
1998-07-22 00:35:00	1536
1998-07-22 00:36:00	1373
1998-07-22 00:37:00	1352
1998-07-22 00:38:00	1359
1998-07-22 00:39:00	1187
1998-07-22 00:40:00	1314
1998-07-22 00:41:00	1476
1998-07-22 00:42:00	1266
1998-07-22 00:43:00	1110
1998-07-22 00:44:00	1166
1998-07-22 00:45:00	825
1998-07-22 00:46:00	732
1998-07-22 00:47:00	794
1998-07-22 00:48:00	1011
1998-07-22 00:49:00	1045
1998-07-22 00:50:00	1234
1998-07-22 00:51:00	1147
1998-07-22 00:52:00	1081
1998-07-22 00:53:00	992
1998-07-22 00:54:00	861
1998-07-22 00:55:00	1154
1998-07-22 00:56:00	1290
1998-07-22 00:57:00	998
1998-07-22 00:58:00	796
1998-07-22 00:59:00	942
1998-07-22 01:00:00	757
1998-07-22 01:01:00	721
1998-07-22 01:02:00	845
1998-07-22 01:03:00	1219
1998-07-22 01:04:00	1147
1998-07-22 01:05:00	1239
1998-07-22 01:06:00	1145
1998-07-22 01:07:00	1165
1998-07-22 01:08:00	1214
1998-07-22 01:09:00	1247
1998-07-22 01:10:00	1253
1998-07-22 01:11:00	1651
1998-07-22 01:12:00	1367
1998-07-22 01:13:00	1182
1998-07-22 01:14:00	1240
1998-07-22 01:15:00	1106
1998-07-22 01:16:00	1112
1998-07-22 01:17:00	1312
1998-07-22 01:18:00	845
1998-07-22 01:19:00	1142
1998-07-22 01:20:00	1423
1998-07-22 01:21:00	1150
1998-07-22 01:22:00	1574
1998-07-22 01:23:00	1332
1998-07-22 01:24:00	1294
1998-07-22 01:25:00	1222
1998-07-22 01:26:00	1313
1998-07-22 01:27:00	807
1998-07-22 01:28:00	1373
1998-07-22 01:29:00	1531
1998-07-22 01:30:00	1442
1998-07-22 01:31:00	1416
1998-07-22 01:32:00	1280
1998-07-22 01:33:00	1378
1998-07-22 01:34:00	1115
1998-07-22 01:35:00	1082
1998-07-22 01:36:00	1176
1998-07-22 01:37:00	1098
1998-07-22 01:38:00	1275
1998-07-22 01:39:00	1172
1998-07-22 01:40:00	1255
1998-07-22 01:41:00	1380
1998-07-22 01:42:00	1162
1998-07-22 01:43:00	1344
1998-07-22 01:44:00	1564
1998-07-22 01:45:00	1030
1998-07-22 01:46:00	1104
1998-07-22 01:47:00	1119
1998-07-22 01:48:00	1629
1998-07-22 01:49:00	1286
1998-07-22 01:50:00	1385
1998-07-22 01:51:00	1388
1998-07-22 01:52:00	1614
1998-07-22 01:53:00	1411
1998-07-22 01:54:00	1688
1998-07-22 01:55:00	1326
1998-07-22 01:56:00	1388
1998-07-22 01:57:00	1233
1998-07-22 01:58:00	1202
1998-07-22 01:59:00	1367
1998-07-22 02:00:00	1526
1998-07-22 02:01:00	1466
1998-07-22 02:02:00	1549
1998-07-22 02:03:00	1343
1998-07-22 02:04:00	1282
1998-07-22 02:05:00	1639
1998-07-22 02:06:00	1648
1998-07-22 02:07:00	1600
1998-07-22 02:08:00	1282
1998-07-22 02:09:00	1437
1998-07-22 02:10:00	1558
1998-07-22 02:11:00	1452
1998-07-22 02:12:00	1841
1998-07-22 02:13:00	1687
1998-07-22 02:14:00	1363
1998-07-22 02:15:00	1457
1998-07-22 02:16:00	1503
1998-07-22 02:17:00	1575
1998-07-22 02:18:00	1510
1998-07-22 02:19:00	1442
